ID,Name,FullName,Age,Height,Weight,PhotoUrl,Nationality,Overall,Potential,Growth,TotalStats,BaseStats,Positions,BestPosition,Club,NationalTeam,NationalPosition,NationalNumber,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating
158023,L. Messi,Lionel Messi,35,169,67,https://cdn.sofifa.net/players/158/023/23_60.png,Argentina,91,91,0,2180,451,"RW,ST,CF",RW,Argentina,Argentina,RW,10,Left,5,4,4,Low,Low,81,89,89,94,34,64,84,90,70,91,88,95,93,93,80,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,90,90,91,91,91,90,91,91,87,91,67,65,67,62,53,62,22
165153,K. Benzema,Karim Benzema,34,187,81,https://cdn.sofifa.net/players/165/153/23_60.png,France,91,91,0,2149,455,"ST,CF",ST,France,France,ST,19,Right,4,4,4,Medium,Medium,80,88,83,87,39,78,75,92,90,89,88,87,82,75,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,91,87,89,89,89,87,91,89,84,89,67,67,67,63,58,63,21
188545,R. Lewandowski,Robert Lewandowski,33,185,81,https://cdn.sofifa.net/players/188/545/23_60.png,Poland,91,91,0,2205,458,ST,ST,Poland,Poland,ST,9,Right,5,4,4,High,Medium,75,91,79,86,44,83,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,91,85,88,88,88,85,88,86,83,86,67,69,67,64,63,64,22
190871,Neymar Jr,Neymar da Silva Santos Jr.,30,175,68,https://cdn.sofifa.net/players/190/871/23_60.png,Brazil,91,91,0,2186,451,"CF,LW,ST",CF,Brazil,Brazil,ST,10,Right,5,5,5,High,Medium,87,87,84,94,38,61,83,88,72,84,87,95,88,87,79,96,88,86,94,88,82,85,62,79,52,83,63,37,91,89,93,92,35,32,29,9,9,15,15,11,89,90,90,90,90,90,91,91,85,91,69,66,69,65,54,65,23
192119,T. Courtois,Thibaut Courtois,30,199,96,https://cdn.sofifa.net/players/192/119/23_60.png,Belgium,91,92,1,1339,478,GK,GK,Belgium,Belgium,GK,1,Left,4,3,1,Medium,Medium,87,89,75,90,48,89,14,14,13,33,12,13,19,20,35,23,42,52,63,86,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,87,89,75,89,90,34,29,31,31,31,29,35,34,36,34,32,34,32,32,32,32,91
192985,K. De Bruyne,Kevin De Bruyne,31,181,70,https://cdn.sofifa.net/players/192/985/23_60.png,Belgium,91,91,0,2317,488,"CM,CF",CM,Belgium,Belgium,RF,7,Right,4,5,4,High,High,76,88,93,87,66,78,94,85,55,94,83,88,89,83,93,90,76,76,79,91,78,92,63,81,80,91,75,70,88,94,83,89,72,65,53,15,13,5,10,13,87,88,88,88,88,88,91,91,91,91,82,83,82,78,74,78,24
231747,K. Mbapp챕,Kylian Mbapp챕,23,182,73,https://cdn.sofifa.net/players/231/747/23_60.png,France,91,95,4,2171,468,"ST,LW",ST,France,France,ST,10,Right,4,4,5,High,Low,97,88,80,91,36,76,78,93,72,85,83,93,80,69,71,91,97,97,92,93,81,87,77,87,76,82,62,38,92,82,79,88,26,34,32,13,5,7,11,6,92,90,90,90,90,90,92,92,84,92,70,66,70,66,56,66,21
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,37,187,83,https://cdn.sofifa.net/players/020/801/23_60.png,Portugal,90,90,0,2159,445,ST,ST,Portugal,Portugal,ST,7,Right,5,4,5,High,Medium,81,92,78,85,34,75,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95,24,32,24,7,11,15,14,11,90,86,88,88,88,86,88,87,81,87,65,62,65,61,56,61,23
167495,M. Neuer,Manuel Neuer,36,193,93,https://cdn.sofifa.net/players/167/495/23_60.png,Germany,90,90,0,1535,502,GK,GK,Germany,Germany,GK,1,Right,5,4,1,Medium,Medium,87,88,91,88,57,91,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,88,91,91,88,43,40,43,43,43,40,50,47,53,47,39,46,39,38,37,38,90
200145,Casemiro,Carlos Henrique Venancio Casimiro,30,185,84,https://cdn.sofifa.net/players/200/145/23_60.png,Brazil,90,90,0,2228,465,"CDM,CM",CDM,Brazil,Brazil,CM,5,Right,3,3,2,Medium,High,65,73,77,73,87,90,58,64,79,86,62,69,62,74,85,79,60,69,61,87,66,88,87,90,90,81,91,89,75,80,66,84,88,88,87,13,14,16,12,12,79,73,76,76,76,73,80,77,85,77,84,90,84,85,90,85,24
202126,H. Kane,Harry Kane,28,188,89,https://cdn.sofifa.net/players/202/126/23_60.png,England,90,90,0,2207,458,ST,ST,England,England,ST,9,Right,4,5,3,High,High,70,92,83,83,47,83,80,94,85,85,87,83,82,65,86,86,67,72,68,93,71,92,79,85,84,86,80,44,94,87,94,93,50,36,38,8,10,11,14,11,90,84,87,87,87,84,89,87,85,87,70,71,70,67,64,67,23
