Aarhus University,#150 of 14131,#44 of 2785,#2 of 27,Europe,Italy,Veneto,15%,89633,www.au.dk,+45 8942 1111
Arizona State University - Tempe,#61 of 14131,#48 of 2597,#45 of 2496,Europe,Spain,Valencia,,99086,www.asu.edu,8552785080
Auburn University,,,,North America,United States,Wisconsin,57%,36231,auburn.edu,3348444000
Australian National University,#88 of 14131,#5 of 59,#5 of 40,North America,Canada,Ontario,86%,97754,www.anu.edu.au,+61 (0)2 6125 5111
Autonomous University of Barcelona,,,,Europe,Italy,Emilia-Romagna,11%,74922,www.uab.cat,+34 935812222
Baylor College of Medicine,,,,Asia,Japan,Kyoto,55%,82676,bcm.edu,7137984951
Boston College,,,,North America,United States,Pennsylvania,67%,25757,bc.edu,6175528000
Boston University,#49 of 14131,#42 of 2597,#39 of 2496,Europe,Greece,Athens,,107676,bu.edu,6173532000
Brigham Young University - Provo,#193 of 14131,#99 of 2597,#88 of 2496,Europe,United Kingdom,England,58%,36150,www.byu.edu,8014224636
Brown University,#76 of 14131,#55 of 2597,#52 of 2496,North America,United States,Virginia,,80596,www.brown.edu,4018631000
California Institute of Technology,#51 of 14131,#44 of 2597,#41 of 2496,Oceania,Australia,Melbourne,,138415,www.caltech.edu,6263956811
Cardiff University,#195 of 14131,#66 of 2785,#20 of 163,Europe,Sweden,Uppsala,15%,75474,www.cardiff.ac.uk,+44 (29) 2087 4000
Carnegie Mellon University,#43 of 14131,#38 of 2597,#36 of 2496,North America,Canada,Ontario,,92979,www.cmu.edu,4122682000
Case Western Reserve University,#111 of 14131,#68 of 2597,#63 of 2496,Europe,Netherlands,Nijmegen,91%,94862,case.edu,2163682000
Catholic University of Leuven,#77 of 14131,#13 of 2785,#1 of 63,Asia,Japan,Tsukuba,34%,166908,www.kuleuven.be,+32 (16) 324 311
Catholic University of Louvain,,,,North America,United States,Maryland,51%,52453,uclouvain.be,+32 (10) 472 111
Charles University,#172 of 14131,#57 of 2785,#1 of 67,North America,Canada,British Columbia,10%,66210,cuni.cz,+420 224 491 111
Chinese University of Hong Kong,#158 of 14131,#14 of 5830,#6 of 960,Asia,Israel,Jerusalem,65%,83632,www.cuhk.edu.hk,+852 3943 7000
Clemson University,,,,North America,United States,Illinois,25%,37571,clemson.edu,8646564636
Colorado State University - Fort Collins,#142 of 14131,#84 of 2597,#74 of 2496,Asia,South Korea,Seoul,36%,60672,www.colostate.edu,9704911101
Columbia University,#9 of 14131,#8 of 2597,#8 of 2496,Oceania,New Zealand,Dunedin,,205011,www.columbia.edu,2128541754
Complutense University of Madrid,#144 of 14131,#39 of 2785,#2 of 75,Europe,Germany,North Rhine-Westphalia,69%,86698,ucm.es,+34 913944099
Cornell University,#13 of 14131,#11 of 2597,#11 of 2496,North America,United States,New York State,,210564,www.cornell.edu,6072552000
Dalhousie University,,,,North America,United States,Utah,5%,51482,www.dal.ca,+1 (902) 494 2450
Dartmouth College,#125 of 14131,#74 of 2597,#68 of 2496,North America,United States,California,5%,46082,home.dartmouth.edu,6036461110
Delft University of Technology,#140 of 14131,#38 of 2785,#3 of 58,Europe,Netherlands,Groningen,41%,82950,www.tudelft.nl,+31 (15) 27 89111
Dresden University of Technology,,,,Europe,Finland,Helsinki,68%,63645,tu-dresden.de,+49 (351) 4630
Drexel University,,,,Europe,Netherlands,Utrecht,58%,45569,drexel.edu,2158952000
Duke University,#22 of 14131,#18 of 2597,#17 of 2496,Asia,China,Hong Kong,,178305,duke.edu,9196848111
Durham University,#178 of 14131,#58 of 2785,#17 of 163,Asia,Japan,Sendai,15%,78063,www.dur.ac.uk,+44 (191) 334 2000
Emory University,#83 of 14131,#58 of 2597,#54 of 2496,Europe,Netherlands,Wageningen,57%,110482,www.emory.edu,4047276123
Erasmus University Rotterdam,#189 of 14131,#64 of 2785,#7 of 58,North America,United States,Missouri,78%,81477,www.eur.nl,+31 (10) 408 1111
Federal Institute of Technology Lausanne,#120 of 14131,#31 of 2785,#3 of 23,Europe,Germany,Baden-Wurttemberg,5%,87775,www.epfl.ch,+41 (21) 693 1111
Federal University of Minas Gerais,,,,North America,Canada,Ontario,43%,77881,ufmg.br,+55 (31) 3409 5000
Federal University of Rio de Janeiro,,,,Europe,Germany,Baden-Wurttemberg,19%,90932,ufrj.br,+55 (21) 2598 9603
Federal University of Rio Grande do Sul,,,,North America,United States,Indiana,76%,92538,www.ufrgs.br,+55 (51) 3308 3142
Federico II University of Naples,,,,North America,United States,Illinois,8%,60031,www.unina.it,+39 081 547 7200
Florida State University,#135 of 14131,#80 of 2597,#71 of 2496,Europe,France,Ile-de-France,44%,58127,www.fsu.edu,8506442525
Free University Amsterdam,#167 of 14131,#53 of 2785,#6 of 58,North America,Canada,Ontario,71%,68328,vu.nl,+31 (20) 598 5000
Free University of Berlin,#152 of 14131,#46 of 2785,#8 of 369,North America,United States,Indiana,38%,60237,www.fu-berlin.de,+49 (30) 8381
Free University of Brussels,,,,Europe,United Kingdom,England,21%,51928,www.ulb.be,+32 (2) 650 2111
Friedrich Schiller University of Jena,,,,North America,United States,Michigan,26%,41512,www.uni-jena.de,
Fudan University,#164 of 14131,#17 of 5830,#7 of 960,Europe,United Kingdom,England,21%,120614,www.fudan.edu.cn,+86 (21) 6564 2258
George Mason University,,,,North America,United States,Rhode Island,37%,38355,gmu.edu,7039931000
George Washington University,#132 of 14131,#78 of 2597,#70 of 2496,Europe,Russia,Moscow,52%,52663,www.gwu.edu,2029941000
Georgetown University,#136 of 14131,#81 of 2597,#72 of 2496,Europe,Netherlands,Leiden,45%,41162,www.georgetown.edu,2026870100
Georgia Institute of Technology,#67 of 14131,#51 of 2597,#48 of 2496,Europe,Sweden,Stockholm,,107016,www.gatech.edu,4048942000
Georgia State University,,,,North America,United States,Massachusetts,7%,33869,www.gsu.edu,4044132000
Ghent University,#116 of 14131,#30 of 2785,#2 of 63,Europe,Germany,North Rhine-Westphalia,45%,99103,www.ugent.be,+32 (9) 264 3011
Harvard University,#1 of 14131,#1 of 2597,#1 of 2496,North America,United States,Granada,,478072,www.harvard.edu,6174951000
Hebrew University of Jerusalem,#143 of 14131,#13 of 5830,#2 of 36,Asia,China,Hong Kong,20%,87321,null,+972 (2) 588 2111
Heidelberg University - Germany,#74 of 14131,#12 of 2785,#2 of 369,Latin America,Brazil,Rio de Janeiro,,107043,www.uni-heidelberg.de,+49 (6221) 540
Hokkaido University,#196 of 14131,#19 of 5830,#7 of 719,North America,Canada,Quebec State,59%,104130,www.hokudai.ac.jp,+81 (11) 716 2111
Hong Kong Polytechnic University,,,,North America,United States,North Carolina,55%,67052,www.polyu.edu.hk,+852 2766 5111
Huazhong University of Science and Technology,,,,Oceania,Australia,St Lucia,19%,121410,hust.edu.cn,+86 (27) 8754 2157
Humboldt University of Berlin,#153 of 14131,#47 of 2785,#9 of 369,Europe,United Kingdom,England,67%,57371,www.hu-berlin.de,+49 (30) 2093 0
Imperial College London,#45 of 14131,#5 of 2785,#5 of 163,Asia,Israel,Haifa,,186925,www.imperial.ac.uk,+44 (20) 7589 5111
Indiana University - Bloomington,#52 of 14131,#45 of 2597,#42 of 2496,Europe,Germany,Schleswig-Holstein,,138093,null,8128554848
Iowa State University,#89 of 14131,#60 of 2597,#56 of 2496,North America,United States,New York State,34%,97889,www.iastate.edu,5152944111
Johannes Gutenberg University Mainz,,,,Latin America,Mexico,Mexico City,34%,63859,www.uni-mainz.de,+49 (6131) 39-0
Johns Hopkins University,#14 of 14131,#12 of 2597,#12 of 2496,Latin America,Argentina,Buenos Aires,,222807,www.jhu.edu,4105168000
Kansas State University,,,,North America,United States,California,31%,40059,www.k-state.edu,7855326011
Karlsruhe Institute of Technology,#181 of 14131,#60 of 2785,#12 of 369,Europe,Switzerland,Lausanne,84%,73722,www.kit.edu,+49 (721) 608 0
Karolinska Institute,#145 of 14131,#40 of 2785,#3 of 39,North America,United States,Washington,69%,103846,ki.se,+46 (8) 5248 6400
Keio University,#162 of 14131,#16 of 5830,#5 of 719,Europe,United Kingdom,England,96%,65910,keio.ac.jp,+81 (3) 5453 4511
Kiel University,,,,North America,United States,Indiana,70%,50338,www.uni-kiel.de,+49 (431) 880 00
King's College London,#79 of 14131,#14 of 2785,#7 of 163,Europe,Denmark,Kongens Lyngby,82%,105737,www.kcl.ac.uk,+44 (20) 7836 5454
KTH Royal Institute of Technology,,,,North America,United States,Georgia,12%,59116,www.kth.se,+46 (8) 790 6000
Kyoto University,#55 of 14131,#3 of 5830,#2 of 719,North America,United States,Texas,,196412,www.kyoto-u.ac.jp,+81 (75) 753 7531
Kyushu University,#177 of 14131,#18 of 5830,#6 of 719,Europe,Italy,Lombardy,18%,130650,www.kyushu-u.ac.jp,+81 (92) 642 2111
Laval University,,,,Europe,United Kingdom,England,53%,63164,www.ulaval.ca,+1 (418) 656 2131
Leiden University,#165 of 14131,#51 of 2785,#5 of 58,North America,United States,District of Columbia,63%,65006,www.universiteitleiden.nl,+31 (71) 527 8011
London School of Economics and Political Science,#148 of 14131,#43 of 2785,#16 of 163,Europe,Germany,Brandenburg,76%,34969,www.lse.ac.uk,+44 (20) 7405 7686
Louisiana State University and Agricultural & Mechanical College,#160 of 14131,#88 of 2597,#78 of 2496,North America,Canada,Ontario,11%,68688,lsu.edu,2255783202
Lund University,#93 of 14131,#20 of 2785,#1 of 39,Europe,Sweden,Gothenburg,62%,109613,www.lu.se,
Massachusetts Institute of Technology,#4 of 14131,#4 of 2597,#4 of 2496,North America,United States,Georgia,,242073,mit.edu,6172531000
McGill University,#47 of 14131,#41 of 2597,#3 of 101,Latin America,Brazil,Campinas,,144724,www.mcgill.ca,+1 (514) 369 1342
McMaster University,#141 of 14131,#83 of 2597,#10 of 101,North America,United States,Louisiana,10%,89024,mcmaster.ca,+1 (905) 525 9140
Michigan State University,#40 of 14131,#35 of 2597,#33 of 2496,North America,United States,Florida,,121482,msu.edu,5173551855
Monash University,#114 of 14131,#6 of 59,#6 of 40,Europe,United Kingdom,England,65%,90533,www.monash.edu,+61 (0)3 9905 6000
Moscow State University,#169 of 14131,#55 of 2785,#1 of 385,North America,United States,District of Columbia,5%,110735,www.msu.ru,+7 (95) 939 1000
Nagoya University,#198 of 14131,#20 of 5830,#8 of 719,North America,United States,Illinois,9%,115115,www.nagoya-u.ac.jp,+81 (52) 789 2044
Nanjing University,,,,North America,United States,Florida,82%,106518,www.nju.edu.cn,+86 (25) 8359 3186
Nanyang Technological University,,,,Europe,United Kingdom,England,56%,99798,www.ntu.edu.sg,+65 6791 1744
National and Kapodistrian University of Athens,,,,North America,United States,Massachusetts,23%,64302,www.uoa.gr,+30 (210) 368 9771
National Autonomous University of Mexico,#82 of 14131,#2 of 1756,#1 of 538,Europe,Germany,Rhineland-Palatinate,32%,137605,www.unam.mx,+52 (55) 5622 1280
National Taiwan University,#118 of 14131,#9 of 5830,#1 of 144,Oceania,Australia,Adelaide,77%,114772,www.ntu.edu.tw,+886 (2) 2362 6801
National University of Singapore,#85 of 14131,#5 of 5830,#1 of 8,North America,United States,Texas,6%,147686,nus.edu.sg,+65 6516 1081
New York University,#25 of 14131,#21 of 2597,#20 of 2496,Europe,United Kingdom,Scotland,,150565,null,2129981212
Newcastle University,#187 of 14131,#63 of 2785,#19 of 163,Oceania,Australia,Clayton,65%,63050,www.ncl.ac.uk,+44 (191) 208 6000
Normal Superior School,#166 of 14131,#52 of 2785,#1 of 224,North America,United States,Florida,32%,99156,www.ens.psl.eu,+33 (0)1 44 32 30 00
North Carolina State University at Raleigh,#70 of 14131,#53 of 2597,#50 of 2496,Europe,Norway,Bergen,,88759,www.ncsu.edu,9195152011
Northeastern University,,,,North America,United States,Massachusetts,30%,53334,northeastern.edu,6173732000
Northwestern University,#28 of 14131,#24 of 2597,#23 of 2496,North America,United States,South Carolina,,169284,www.northwestern.edu,8474913741
Norwegian University of Science and Technology,,,,North America,United States,California,67%,60015,www.ntnu.no,+47 73 59 50 00
Ohio State University,#24 of 14131,#20 of 2597,#19 of 2496,Asia,China,Jinan,,208615,null,6142926446
Oklahoma State University,,,,North America,United States,California,17%,32350,go.okstate.edu,4057445000
Oregon State University,#121 of 14131,#72 of 2597,#66 of 2496,Europe,United Kingdom,England,1%,55134,oregonstate.edu,5417370123
Osaka University,#96 of 14131,#6 of 5830,#3 of 719,Europe,Germany,Bavaria,84%,168516,www.osaka-u.ac.jp,+81 (66) 877 5111
Peking University,#59 of 14131,#4 of 5830,#2 of 960,Europe,United Kingdom,England,,184856,www.pku.edu.cn,+86 (10) 6275 1246
Pennsylvania State University,#23 of 14131,#19 of 2597,#18 of 2496,Oceania,Australia,Brisbane,,177518,www.psu.edu,+1 (814) 865 4700
Polytechnic University of Milan,,,,North America,United States,North Carolina,37%,50791,www.polimi.it,+39 02 2399 9738/6923
Princeton University,#19 of 14131,#16 of 2597,#15 of 2496,Europe,United Kingdom,England,,135109,princeton.edu,6092583000
Purdue University,#39 of 14131,#34 of 2597,#32 of 2496,Latin America,Brazil,Porto Alegre,,147074,purdue.edu,7654944600
Queen Mary University of London,,,,North America,United States,Virginia,82%,65144,qmul.ac.uk,+44 (20) 7882 5555
